Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Series,Protocol Supported,Frequency,Data Rate,Interface Type,Output Power,Operating Supply Voltage,Supply Current Transmitting,Supply Current Receiving,Minimum Operating Temperature,Maximum Operating Temperature,Protocol - WiFi - 802.11,Protocol - Bluetooth, BLE - 802.15.1,Protocol - Cellular, NBIoT, LTE,Protocol - ANT, Thread, Zigbee - 802.15.4,Qualification,Packaging
742-KIT-WIFI-UDOOX86,KIT-WIFI-UDOOx86,UDOO,,94  In Stock,$28.28,RoHS Compliant,,https://ru.mouser.com/ProductDetail/UDOO/KIT-WIFI-UDOOx86?qs=EU6FO9ffTwc5SJ6MXSH4mw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=KIT-WIFI-UDOOx86&utm_content=UDOO,,802.11 ac,4.25 GHz,433 Mb/s,"PCIe, USB",,,,,0 C,+ 80 C,WiFi,,,,,,,,,,
667-ENW-F9203A1EF,ENW-F9203A1EF,Panasonic,https://ru.mouser.com/datasheet/2/315/panasonic_08292019_RF_Module_PAN9026_Series_Specif-1892037.pdf,500  In Stock,$30.10,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Panasonic/ENW-F9203A1EF?qs=RcG8xmE7yp1g8TBtDSfYoQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ENW-F9203A1EF&utm_content=Panasonic,PAN9026,,"2.4 GHz, 5 GHz",150 Mb/s,"SDIO, UART",16 dBm,1.8 V to 3.3 V,400 mA,70 mA,- 30 C,+ 85 C,WiFi,Bluetooth,,,,"Cut Tape, Reel",,,,,
986-EMIO-5531,EMIO-5531-00A1,VIA,https://ru.mouser.com/datasheet/2/765/VIA_EMIO-5531_USB_Wi-Fi_BT_Module_datasheet_v16122-1662094.pdf,85  In Stock,$54.35,,New Product,https://ru.mouser.com/ProductDetail/VIA/EMIO-5531-00A1?qs=u16ybLDytRaVHV169%2BGHJw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EMIO-5531-00A1&utm_content=VIA,EMIO-5531,802.11 b/g/n,2.4 GHz to 2.5 GHz,1 Mb/s,USB,17 dBm,,,,- 10 C,+ 70 C,WiFi,Bluetooth,LTE,,,,,,,,
755-BP35A1,BP35A1,ROHM Semiconductor,https://ru.mouser.com/datasheet/2/348/bp35a1-e-1874431.pdf,,,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/ROHM-Semiconductor/BP35A1?qs=yrxrYnY23DGxKoQ9DoI9mA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BP35A1&utm_content=ROHM-Semiconductor,BP35,,920 MHz,100 kb/s,UART,12.7 dBm,2.7 V to 3.6 V,46 mA,30 mA,- 20 C,+ 80 C,WiFi,BLE,,,,Tray,,,,,
332-ACM-DB-3U,ACM-DB-3U,Doodle Labs,https://ru.mouser.com/datasheet/2/895/Doodle_Labs_06112019_ACM-DB-3U-1602267.pdf,14  In Stock,$369.02,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Doodle-Labs/ACM-DB-3U?qs=f9yNj16SXrKQijUgt4dUaQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ACM-DB-3U&utm_content=Doodle-Labs,ACM-DB,802.11 ac,"2.412 GHz to 2.484 GHz, 5.18 GHz to 5.825 GHz",1.3 Gb/s,miniPCIe,"27 dBm, 29 dBm",3.3 V,,,- 40 C,+ 85 C,WiFi,,PCIe,,,Bulk,,,,,
365-L04,L04,Pycom,https://ru.mouser.com/datasheet/2/872/L04Specsheet-1222146.pdf,224  In Stock,$50.86,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Pycom/L04?qs=wd5RIQLrsJh0bbWT6J/j6A==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=L04&utm_content=Pycom,,,"433 MHz, 470 MHz to 510 MHz, 868 MHz, 902 MHz, 915 MHz, 920 MHz to 922 MHz",,"I2C, I2S, SPI, UART",,3.3 V to 5.5 V,,,- 40 C,+ 85 C,WiFi,,,,,,,,,,
924-EAR00318,EAR00318,Embedded Artists,https://ru.mouser.com/datasheet/2/131/1DX_M2_Datasheet-1578392.pdf,58  In Stock,$52.43,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Embedded-Artists/EAR00318?qs=3HJ2avRr9PIknXXq2KsnYQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EAR00318&utm_content=Embedded-Artists,EA M.2 Modules,802.11 b/g/n,2.4 GHz,,"4-Wire UART, SDIO",,3.3 V,,,- 30 C,+ 70 C,WiFi,,,,,,,,,,
924-EAR00315,EAR00315,Embedded Artists,https://ru.mouser.com/datasheet/2/131/1MW_M2_Datasheet-1578371.pdf,79  In Stock,$56.57,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Embedded-Artists/EAR00315?qs=3HJ2avRr9PIUQSzj41nFLQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EAR00315&utm_content=Embedded-Artists,EA M.2 Modules,802.11 a/ac/b/g/n,"2.4 GHz, 5 GHz",,"4-Wire UART, SDIO",,3.3 V,,,- 20 C,+ 75 C,WiFi,,,,,,,,,,
724-DA1620MDAAC4WA32,DA16200MOD-AAC4WA32,Dialog Semiconductor,https://ru.mouser.com/datasheet/2/713/da16200_modules_product_brief_20.05.15-1847346.pdf,341  In Stock,$16.62,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Dialog-Semiconductor/DA16200MOD-AAC4WA32?qs=TiOZkKH1s2SDZkCqRsPf%2Bg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DA16200MOD-AAC4WA32&utm_content=Dialog-Semiconductor,,802.11 b/g/n,,72 Mb/s,"GPIO, I2C, JTAG, SPI, UART",,3.3 V,,,,,,,,,,"Cut Tape, Reel",,,,,
888-TX54-A106,TX54-A106,DIGI,https://ru.mouser.com/datasheet/2/111/Digi_International_b1-digi-tx54-ds_dated_4-17-20-1838497.pdf,3  In Stock,"$1,847.46",RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/DIGI/TX54-A106?qs=rI7uf1IzohSmxqvDuahiMw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TX54-A106&utm_content=DIGI,,,,,,,,,,,,WiFi,,,,,,,,,,
